study_accession	experiment_accession	experiment_title	experiment_desc	organism_taxid 	organism_name	library_strategy	library_source	library_selection	sample_accession	sample_title	instrument	total_spots	total_size	run_accession	run_total_spots	run_total_bases
SRP252977	SRX7917918	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324306		GridION	20623	13093359	SRR11313307	20623	14194243
SRP252977	SRX7917917	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324304		GridION	10313	6569725	SRR11313308	10313	7078703
SRP252977	SRX7917916	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324303		GridION	5133	3295818	SRR11313309	5133	3508951
SRP252977	SRX7917915	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324302		GridION	2651	1740506	SRR11313310	2651	1812236
SRP252977	SRX7917914	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324301		GridION	6	84967	SRR11313311	6	4837
SRP252977	SRX7917913	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324300		GridION	859	623254	SRR11313312	859	592506
SRP252977	SRX7917912	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324298		GridION	16203	12369103	SRR11313313	16203	13451056
SRP252977	SRX7917911	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324299		GridION	7679	5869426	SRR11313314	7679	6337037
SRP252977	SRX7917910	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324297		GridION	3780	2904262	SRR11313315	3780	3091121
SRP252977	SRX7917909	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324296		GridION	1950	1540106	SRR11313316	1950	1597782
SRP252977	SRX7917908	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324295		GridION	638	553518	SRR11313317	638	517640
SRP252977	SRX7917907	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324294		GridION	1556	1129064	SRR11313318	1556	1141773
SRP252977	SRX7917906	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324293		GridION	811	624632	SRR11313319	811	592655
SRP252977	SRX7917905	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324292		GridION	423	365821	SRR11313320	423	310929
SRP252977	SRX7917904	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324291		GridION	227	234187	SRR11313321	227	167619
SRP252977	SRX7917903	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324290		GridION	58	149191	SRR11313322	58	75186
SRP252977	SRX7917902	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324289		GridION	93	142601	SRR11313323	93	67631
SRP252977	SRX7917901	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324288		GridION	1448	675010	SRR11313324	1448	645674
SRP252977	SRX7917900	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324287		GridION	779	396992	SRR11313325	779	343667
SRP252977	SRX7917899	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324285		GridION	411	252969	SRR11313326	411	187577
SRP252977	SRX7917898	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324286		GridION	217	173490	SRR11313327	217	100887
SRP252977	SRX7917897	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324284		GridION	69	115050	SRR11313328	69	37367
SRP252977	SRX7917896	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324283		GridION	80	110740	SRR11313329	80	32653
SRP252977	SRX7917895	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324282		GridION	45	96778	SRR11313330	45	17570
SRP252977	SRX7917894	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324281		GridION	27	90432	SRR11313331	27	10735
SRP252977	SRX7917893	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324280		GridION	17	87448	SRR11313332	17	7519
SRP252977	SRX7917892	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324278		GridION	2	82102	SRR11313333	2	1720
SRP252977	SRX7917891	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324279		GridION	5	85551	SRR11313334	5	5476
SRP252977	SRX7917890	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324277		GridION	7	82641	SRR11313335	7	2326
SRP252977	SRX7917889	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324276		GridION	681	576464	SRR11313336	681	542217
SRP252977	SRX7917888	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324275		GridION	340	329312	SRR11313337	340	271903
SRP252977	SRX7917887	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324274		GridION	155	191607	SRR11313338	155	121442
SRP252977	SRX7917886	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324273		GridION	90	145420	SRR11313339	90	70952
SRP252977	SRX7917885	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324271		GridION	35	105888	SRR11313340	35	27753
SRP252977	SRX7917884	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324272		GridION	813	615750	SRR11313341	813	582441
SRP252977	SRX7917883	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324270		GridION	388	331657	SRR11313342	388	273133
SRP252977	SRX7917882	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324269		GridION	197	206449	SRR11313343	197	136999
SRP252977	SRX7917881	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324268		GridION	104	146677	SRR11313344	104	71913
SRP252977	SRX7917880	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324267		GridION	204	233677	SRR11313345	204	167337
SRP252977	SRX7917879	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324266		GridION	40	105730	SRR11313346	40	27360
SRP252977	SRX7917878	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324265		GridION	929	701533	SRR11313347	929	675579
SRP252977	SRX7917877	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324264		GridION	500	413590	SRR11313348	500	362137
SRP252977	SRX7917876	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324263		GridION	241	239877	SRR11313349	241	173335
SRP252977	SRX7917875	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324262		GridION	115	156469	SRR11313350	115	82423
SRP252977	SRX7917874	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324261		GridION	40	107269	SRR11313351	40	28987
SRP252977	SRX7917873	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324260		GridION	285	165230	SRR11313352	285	91576
SRP252977	SRX7917872	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324259		GridION	122	117408	SRR11313353	122	39773
SRP252977	SRX7917871	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324258		GridION	71	102679	SRR11313354	71	23812
SRP252977	SRX7917870	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324257		GridION	36	92110	SRR11313355	36	12410
SRP252977	SRX7917869	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324256		GridION	20	94454	SRR11313356	20	15116
SRP252977	SRX7917868	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324255		GridION	14	84666	SRR11313357	14	4458
SRP252977	SRX7917867	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324254		GridION	27	101380	SRR11313358	27	22672
SRP252977	SRX7917866	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324253		GridION	11	91224	SRR11313359	11	11655
SRP252977	SRX7917865	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324252		GridION	7	88158	SRR11313360	7	8316
SRP252977	SRX7917864	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324251		GridION	3	84137	SRR11313361	3	3909
SRP252977	SRX7917863	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324250		GridION	42	106328	SRR11313362	42	27996
SRP252977	SRX7917862	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324249		GridION	23	93795	SRR11313363	23	14361
SRP252977	SRX7917861	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324248		GridION	10	86308	SRR11313364	10	6219
SRP252977	SRX7917860	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324247		GridION	5	82996	SRR11313365	5	2661
SRP252977	SRX7917859	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324246		GridION	2	81466	SRR11313366	2	1012
SRP252977	SRX7917858	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324245		GridION	32	115107	SRR11313367	32	37685
SRP252977	SRX7917857	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324244		GridION	1480	1038215	SRR11313368	1480	1043911
SRP252977	SRX7917856	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324243		GridION	717	544310	SRR11313369	717	505483
SRP252977	SRX7917855	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324242		GridION	365	317891	SRR11313370	365	258599
SRP252977	SRX7917854	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324241		GridION	180	200213	SRR11313371	180	130246
SRP252977	SRX7917853	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324240		GridION	67	126969	SRR11313372	67	50349
SRP252977	SRX7917852	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324239		GridION	154	113605	SRR11313373	154	35615
SRP252977	SRX7917851	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324238		GridION	90	98317	SRR11313374	90	19092
SRP252977	SRX7917850	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324237		GridION	46	89544	SRR11313375	46	9614
SRP252977	SRX7917849	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324236		GridION	25	85392	SRR11313376	25	5162
SRP252977	SRX7917848	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324235		GridION	8	82072	SRR11313377	8	1633
SRP252977	SRX7917847	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324234		GridION	1	78818	SRR11313378	1	786
SRP252977	SRX7917846	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324233		GridION	221	191254	SRR11313379	221	120159
SRP252977	SRX7917845	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324232		GridION	120	138757	SRR11313380	120	63100
SRP252977	SRX7917844	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324231		GridION	65	113617	SRR11313381	65	35822
SRP252977	SRX7917843	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324230		GridION	35	98458	SRR11313382	35	19363
SRP252977	SRX7917842	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324229		GridION	14	86919	SRR11313383	14	6858
SRP252977	SRX7917841	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324228		GridION	116	140844	SRR11313384	116	65506
SRP252977	SRX7917840	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324227		GridION	52	107180	SRR11313385	52	28868
SRP252977	SRX7917839	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324226		GridION	24	91831	SRR11313386	24	12242
SRP252977	SRX7917838	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324225		GridION	11	84904	SRR11313387	11	4784
SRP252977	SRX7917837	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324224		GridION	4	82004	SRR11313388	4	1634
SRP252977	SRX7917836	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324223		GridION	630	531684	SRR11313389	630	493743
SRP252977	SRX7917835	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324222		GridION	371	285591	SRR11313390	371	222897
SRP252977	SRX7917834	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324221		GridION	183	181409	SRR11313391	183	109657
SRP252977	SRX7917833	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324220		GridION	86	127136	SRR11313392	86	50584
SRP252977	SRX7917832	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324219		GridION	40	104538	SRR11313393	40	25996
SRP252977	SRX7917831	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324218		GridION	11	87397	SRR11313394	11	7419
SRP252977	SRX7917830	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324217		GridION	145	175312	SRR11313395	145	103183
SRP252977	SRX7917829	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324216		GridION	69	125246	SRR11313396	69	48542
SRP252977	SRX7917828	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324215		GridION	35	103078	SRR11313397	35	24448
SRP252977	SRX7917827	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324214		GridION	15	89904	SRR11313398	15	10165
SRP252977	SRX7917826	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324213		GridION	3	82307	SRR11313399	3	1976
SRP252977	SRX7917825	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324212		GridION	77	133754	SRR11313400	77	58134
SRP252977	SRX7917824	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324211		GridION	4	83511	SRR11313401	4	3244
SRP252977	SRX7917823	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324210		GridION	2	81481	SRR11313402	2	1058
SRP252977	SRX7917822	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324209		GridION	1	78061	SRR11313403	1	268
SRP252977	SRX7917821	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324208		GridION	10	91577	SRR11313404	10	11990
SRP252977	SRX7917820	NTS: plasmid	NTS: plasmid	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	SYNTHETIC	PCR	SRS6324207		GridION	6	87625	SRR11313405	6	7790
SRP252977	SRX7917819	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324206		GridION	49	142703	SRR11313406	49	67617
SRP252977	SRX7917818	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324205		GridION	3	84477	SRR11313408	3	4269
SRP252977	SRX7917817	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324204		GridION	71	138531	SRR11313409	71	62994
SRP252977	SRX7917816	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324203		GridION	2	83043	SRR11313410	2	2697
SRP252977	SRX7917815	NTS: negative	NTS: negative	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	OTHER	PCR	SRS6324202		GridION	4081	3061554	SRR11313411	4081	3245589
SRP252977	SRX7917814	NTS: negative	NTS: negative	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	OTHER	PCR	SRS6324201		GridION	239	249318	SRR11313412	239	184045
SRP252977	SRX7917813	NTS: negative	NTS: negative	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	OTHER	PCR	SRS6324200		GridION	6	88806	SRR11313413	6	9045
SRP252977	SRX7917812	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324199		GridION	36	115430	SRR11313414	36	37985
SRP252977	SRX7917811	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324198		GridION	5	83449	SRR11313415	5	3186
SRP252977	SRX7917810	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324197		GridION	198	243424	SRR11313416	198	177358
SRP252977	SRX7917809	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324196		GridION	8494	5668892	SRR11313417	8494	6100361
SRP252977	SRX7917808	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324195		GridION	15	93555	SRR11313418	15	14164
SRP252977	SRX7917807	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324194		GridION	26900	17911676	SRR11313419	26900	19414496
SRP252977	SRX7917806	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324193		GridION	1561	1083490	SRR11313420	1561	1094057
SRP252977	SRX7917805	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324192		GridION	21460	14350079	SRR11313421	21460	15542645
SRP252977	SRX7917804	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324191		GridION	1398	975000	SRR11313422	1398	975690
SRP252977	SRX7917803	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324190		GridION	1051	600392	SRR11313423	1051	563753
SRP252977	SRX7917802	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324189		GridION	65	109997	SRR11313424	65	31779
SRP252977	SRX7917801	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324188		GridION	12133	8050701	SRR11313425	12133	8680929
SRP252977	SRX7917800	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324187		GridION	705	527386	SRR11313426	705	487229
SRP252977	SRX7917799	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324186		GridION	516	402913	SRR11313427	516	350073
SRP252977	SRX7917798	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324185		GridION	686	522734	SRR11313428	686	482047
SRP252977	SRX7917797	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324184		GridION	39	103260	SRR11313429	39	24543
SRP252977	SRX7917796	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324183		GridION	448	407255	SRR11313430	448	355730
SRP252977	SRX7917795	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324182		GridION	20	93432	SRR11313431	20	14016
SRP252977	SRX7917794	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324181		GridION	56	143637	SRR11313432	56	68876
SRP252977	SRX7917793	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324180		GridION	1	79169	SRR11313433	1	1049
SRP252977	SRX7917792	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324179		GridION	4557	3070910	SRR11313434	4557	3255594
SRP252977	SRX7917791	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324178		GridION	291	270356	SRR11313435	291	206514
SRP252977	SRX7917790	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324177		GridION	9086	6348660	SRR11313436	9086	6831885
SRP252977	SRX7917789	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324176		GridION	651	516203	SRR11313437	651	475863
SRP252977	SRX7917788	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324175		GridION	3173	2250824	SRR11313438	3173	2363890
SRP252977	SRX7917787	NTS: clinical sample	NTS: clinical sample	2697049	Severe acute respiratory syndrome coronavirus 2	AMPLICON	VIRAL RNA	PCR	SRS6324174		GridION	50	132950	SRR11313439	50	57389
